FAILED: 10085 SE River St,  Truckee, CA, 96161, US
OK: 10096 Winter Creek Loop,  Truckee, CA, 96161, US
FAILED: 10108 Sagebrush,  Truckee, CA, 96161, US
FAILED: 10137 Corrie Court,  Truckee, CA, 96161, US
OK: 10144 Jibboom St,  Truckee, CA, 96161, US
OK: 10196 Winter Creek Loop,  Truckee, CA, 96161, US
OK: 10217 Winter Creek Loop,  Truckee, CA, 96161, US
OK: 10219 Washoe Rd,  Truckee, CA, 96161, US
FAILED: 10229 Annie's Loop,  Truckee, CA, 96161, US
FAILED: 10236 Valmont Trail,  Truckee, CA, 96161, US
OK: 10240 Winter Creek Loop,  Truckee, CA, 96161, US
ERROR: 1030 Snow Crest,  Olympic Valley, CA, 96146, US
FAILED: 10321 Shady Lane,  Truckee, CA, 96161, US
OK: 1035 West Lake,  Tahoe City, CA, 96145, US
FAILED: 105 Mammoth Dr,  Tahoe City, CA, 96145, US
FAILED: 1055 Trent Lane,  Kings Beach, CA, 96143, US
OK: 10559 Sara Bear Ln,  Truckee, CA, 96161, US
FAILED: 10562 Glenbrook Ct,  Truckee, CA, 96161, US
FAILED: 10568 Glenbrook,  Truckee, CA, 96161, US
FAILED: 10569 Glen Brook Court,  Truckee, CA, 96161, US
FAILED: 10613 Dutton Ct.,  Truckee, CA, 96161, US
FAILED: 10706 Avoca Circle,  Truckee, CA, 96161, US
FAILED: 10718 Avoca Circle,  Truckee, CA, 96161, US
OK: 10761 Passage Place,  Truckee, CA, 96161, US
OK: 10768 Labelle,  Truckee, CA, 96161, US
FAILED: 10825 Cairncroft Ln,  Truckee, CA, 96161, US
FAILED: 10825 Carincroft Ln,  Truckee, CA, 96161, US
FAILED: 10885 Cinnabar #5,  Truckee, CA, 96161, US
OK: 1090 West Lake Blvd,  Tahoe City, CA, 96145, US
OK: 10945 Lausanne,  Truckee, CA, 96161, US
FAILED: 10958 Olana Drive,  Truckee, CA, 96161, US
FAILED: 110 Old Cedars Place,  Tahoma, CA, 96142, US
FAILED: 110 Simplon Pass Road,  Homewood, CA, 96141, US
OK: 11025 Innsbruck Ave.,  Truckee, CA, 96161, US
OK: 11042 Henness Rd,  Truckee, CA, 96161, US
OK: 11061 Henness Rd,  Truckee, CA, 96161, US
OK: 11073 Meek Court,  Truckee, CA, 96161, US
OK: 11090 SItzmark Way,  Truckee, CA, 96161, US
OK: 11092 China Camp Road,  Truckee, CA, 96161, US
OK: 11114 Mougle,  Truckee, CA, 96161, US
OK: 11172 Comstock Dr.,  Truckee, CA, 96161, US
FAILED: 112 Roundridge Rd,  Tahoe City, CA, 96145, US
OK: 1122 Sandy Way,  Olympic Valley, CA, 96146, US
OK: 11239 Henness Rd,  Truckee, CA, 96161, US
OK: 11259 Henness Road,  Truckee, CA, 96161, US
FAILED: 11259 Skislope Way,  Truckee, CA, 96161, US
OK: 11262 Comstock Dr.,  Truckee, CA, 96161, US
OK: 1130 W. Lake Blvd,  Tahoe City, CA, 96145, US
OK: 11310 Henness,  Truckee, CA, 96161, US
OK: 11315 China Camp Road,  Truckee, CA, 96161, US
OK: 11325 Sitzmark Way,  Truckee, CA, 96161, US
OK: 11349 Wolverine Circle,  Truckee, CA, 96161, US
OK: 11365 China Camp Rd,  Truckee, CA, 96161, US
OK: 11380 Chalet Rd,  Truckee, CA, 96161, US
OK: 11382 Northwoods Blvd,  Truckee, CA, 96161, US
OK: 11406 Chalet Road,  Truckee, CA, 96161, US
FAILED: 11411 Dolomite Way #8,  Truckee, CA, 96161, US
FAILED: 1142 Clearview Ct,  Tahoe City, CA, 96145, US
OK: 11422 Mougle Lane,  Truckee, CA, 96161, US
OK: 11432 Sun Valley,  Truckee, CA, 96161, US
OK: 11467 Lausanne,  Truckee, CA, 96161, US
OK: 11490 Bottcher Loop,  Truckee, CA, 96161, US
OK: 11496 Lausanne Way,  Truckee, CA, 96161, US
OK: 115 Bearing Drive,  Tahoe City, CA, 96145, US
FAILED: 115 Marlette Drive,  Tahoe City, CA, 96145, US
FAILED: 1150 Statford Way,  Tahoe Vista, CA, 96148, US
OK: 11512 Chalet Road,  Truckee, CA, 96161, US
FAILED: 11530 Bennett Flat,  Truckee, CA, 96161, US
